id,align,enableFill,caption,type,src,width,height,mediaType,name,pname,position
654,L,0,"Agnes Lux",2,/media/image_654_thumb.jpg,88,100,jpg,preview,people,7
872,L,1,CGI,1,/media/image_872.jpg,990,600,jpg,file,cars,7
872,L,1,CGI,2,/media/image_872_thumb.jpg,88,100,jpg,preview,cars,7
1007,L,0,NULL,1,/media/image_1007.jpg,990,600,jpg,file,archive.cars,7
529,L,1,NULL,1,/media/image_529.jpg,990,600,jpg,file,archive.people,7
1007,L,0,NULL,2,/media/image_1007_thumb.jpg,88,100,jpg,preview,archive.cars,7
529,L,1,NULL,2,/media/image_529_thumb.jpg,88,100,jpg,preview,archive.people,7
395,L,0,"KODAK TRI-X",1,/media/image_395.jpg,990,600,jpg,file,people,8
395,L,0,"KODAK TRI-X",2,/media/image_395_thumb.jpg,88,100,jpg,preview,people,8
895,L,0,NULL,1,/media/image_895.jpg,990,600,jpg,file,cars,8
341,R,0,NULL,1,/media/image_341.jpg,990,600,jpg,file,archive.cars,8
895,L,0,NULL,2,/media/image_895_thumb.jpg,88,100,jpg,preview,cars,8
341,R,0,NULL,2,/media/image_341_thumb.jpg,88,100,jpg,preview,archive.cars,8
139,L,0,NULL,1,/media/image_139.jpg,990,600,jpg,file,archive.people,8
139,L,0,NULL,2,/media/image_139_thumb.jpg,88,100,jpg,preview,archive.people,8
130,R,1,POP,1,/media/image_130.jpg,990,600,jpg,file,people,9
817,L,0,NULL,1,/media/image_817.jpg,990,600,jpg,file,cars,9
130,R,1,POP,2,/media/image_130_thumb.jpg,88,100,jpg,preview,people,9
817,L,0,NULL,2,/media/image_817_thumb.jpg,88,100,jpg,preview,cars,9
914,L,0,NULL,1,/media/image_914.jpg,990,600,jpg,file,archive.cars,9
117,R,0,NULL,1,/media/image_117.jpg,990,600,jpg,file,archive.people,9
914,L,0,NULL,2,/media/image_914_thumb.jpg,88,100,jpg,preview,archive.cars,9
117,R,0,NULL,2,/media/image_117_thumb.jpg,88,100,jpg,preview,archive.people,9
647,L,0,"1007000000000 Euro over budget",1,/media/image_647.jpg,990,600,jpg,file,people,10
647,L,0,"1007000000000 Euro over budget",2,/media/image_647_thumb.jpg,88,100,jpg,preview,people,10
907,L,0,NULL,1,/media/image_907.jpg,990,600,jpg,file,cars,10
445,R,0,,1,/media/image_445.jpg,990,600,jpg,file,archive.cars,10
907,L,0,NULL,2,/media/image_907_thumb.jpg,88,100,jpg,preview,cars,10
445,R,0,,2,/media/image_445_thumb.jpg,88,100,jpg,preview,archive.cars,10
236,L,0,NULL,1,/media/image_236.jpg,990,600,jpg,file,archive.people,10
236,L,0,NULL,2,/media/image_236_thumb.jpg,88,100,jpg,preview,archive.people,10
306,L,1,NULL,1,/media/image_306.jpg,990,600,jpg,file,people,11
306,L,1,NULL,2,/media/image_306_thumb.jpg,88,100,jpg,preview,people,11
1013,L,0,NULL,1,/media/image_1013.jpg,990,600,jpg,file,cars,11
271,L,0,NULL,1,/media/image_271.jpg,990,600,jpg,file,archive.cars,11
1013,L,0,NULL,2,/media/image_1013_thumb.jpg,88,100,jpg,preview,cars,11
271,L,0,NULL,2,/media/image_271_thumb.jpg,88,100,jpg,preview,archive.cars,11
82,L,1,NULL,1,/media/archive_people_04.jpg,990,600,jpg,file,archive.people,11
82,L,1,NULL,2,/media/archive_people_04_thumb.jpg,88,100,jpg,preview,archive.people,11
305,L,0,"KODAK  160VC",1,/media/image_305.jpg,990,600,jpg,file,people,12
305,L,0,"KODAK  160VC",2,/media/image_305_thumb.jpg,88,100,jpg,preview,people,12
1012,L,0,NULL,1,/media/image_1012.jpg,990,600,jpg,file,cars,12
406,L,0,"thank You Tom",1,/media/image_406.jpg,990,600,jpg,file,archive.cars,12
1012,L,0,NULL,2,/media/image_1012_thumb.jpg,88,100,jpg,preview,cars,12
406,L,0,"thank You Tom",2,/media/image_406_thumb.jpg,88,100,jpg,preview,archive.cars,12
84,L,0,NULL,1,/media/archive_people_06.jpg,990,600,jpg,file,archive.people,12
84,L,0,NULL,2,/media/archive_people_06_thumb.jpg,88,100,jpg,preview,archive.people,12
131,L,0,"Otti + Iggy",1,/media/image_131.jpg,990,600,jpg,file,people,13
131,L,0,"Otti + Iggy",2,/media/image_131_thumb.jpg,88,100,jpg,preview,people,13
1014,L,0,NULL,1,/media/image_1014.jpg,990,600,jpg,file,cars,13
1014,L,0,NULL,2,/media/image_1014_thumb.jpg,88,100,jpg,preview,cars,13
815,L,0,NULL,1,/media/image_815.jpg,990,600,jpg,file,archive.cars,13
106,L,1,NULL,1,/media/image_106.jpg,990,600,jpg,file,archive.people,13
815,L,0,NULL,2,/media/image_815_thumb.jpg,88,100,jpg,preview,archive.cars,13
106,L,1,NULL,2,/media/image_106_thumb.jpg,88,100,jpg,preview,archive.people,13
543,L,0,NULL,1,/media/image_543.jpg,990,600,jpg,file,people,14
698,L,0,NULL,1,/media/image_698.jpg,990,600,jpg,file,cars,14
543,L,0,NULL,2,/media/image_543_thumb.jpg,88,100,jpg,preview,people,14
698,L,0,NULL,2,/media/image_698_thumb.jpg,88,100,jpg,preview,cars,14
